,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
1,Aaron Cresswell,2.1,11,11.2,2.2,10.4,14,0.0,1,1
9,Adam Webster,0.6,14,11.8,2.8,14.8,5,1.0,1,1
12,Ahmed El-Sayed Hegazy,0.6,0,0.0,0.0,0.0,9,0.0,0,1
13,Ainsley Maitland-Niles,3.1,21,2.8,1.7,10.2,8,4.0,6,0
21,Alfie Mawson,0.0,0,0.0,0.0,0.0,1,0.0,0,1
27,Andreas Christensen,3.1,14,0.7,2.1,17.8,3,2.0,2,0
28,Andrew Robertson,5.1,20,19.6,4.7,23.4,10,4.0,4,1
34,Angelo Ogbonna,2.1,14,1.1,3.7,30.0,14,6.0,1,1
38,Antonee Robinson,0.6,0,0.0,0.0,0.0,1,0.0,0,1
39,Antonio Rüdiger,3.1,0,0.0,0.0,0.0,3,0.0,0,0
40,Arthur Masuaku,1.6,0,0.0,0.0,0.0,14,0.0,0,1
43,Barry Douglas,-0.5,0,0.0,0.0,0.0,11,0.0,0,0
44,Benjamin Chilwell,0.0,0,0.0,0.0,0.0,3,0.0,0,0
45,Ben Davies,2.6,15,35.5,9.2,20.2,7,36.0,2,1
46,Ben Johnson,1.0,0,0.0,0.0,0.0,14,0.0,0,1
48,Ben White,0.6,16,0.8,1.5,14.2,5,0.0,1,1
49,Bernardo Fernandes da Silva Junior,0.0,0,0.0,0.0,0.0,5,0.0,0,1
61,Calum Chambers,0.0,0,0.0,0.0,0.0,8,0.0,0,0
62,Cameron Carter-Vickers,1.5,0,0.0,0.0,0.0,7,0.0,0,1
63,Cedric Kipre,0.6,0,0.0,0.0,0.0,9,0.0,0,1
70,Christian Fuchs,1.3,0,0.0,0.0,0.0,18,0.0,0,0
73,Chris Basham,2.1,14,1.5,1.5,11.4,20,2.0,1,1
74,Ciaran Clark,0.4,0,0.0,0.0,0.0,19,0.0,0,0
76,Conor Coady,2.1,29,0.0,2.2,22.0,15,0.0,8,0
77,Conor Townsend,0.5,0,0.0,0.0,0.0,9,0.0,0,1
79,Cyrus Christie,0.6,0,0.0,0.0,0.0,1,0.0,0,1
80,Cédric Soares,3.1,0,0.0,0.0,0.0,8,0.0,0,0
81,César Azpilicueta,3.9,3,0.5,0.3,0.4,3,2.0,1,0
83,Daniel Amartey,2.0,0,0.0,0.0,0.0,18,0.0,0,0
87,Danny Rose,2.6,0,0.0,0.0,0.0,7,0.0,0,1
89,Dan Burn,0.6,0,0.0,0.0,0.0,5,0.0,0,1
90,Dara O'Shea,0.6,8,0.6,1.0,9.6,9,0.0,1,1
91,Darnell Furlong,0.6,6,11.5,3.0,6.2,9,12.0,2,1
94,David Luiz Moreira Marinho,0.0,0,0.0,0.0,0.0,8,0.0,0,0
97,Davinson Sánchez,3.0,0,0.0,0.0,0.0,7,0.0,0,1
99,DeAndre Yedlin,1.6,0,0.0,0.0,0.0,19,0.0,0,0
102,Denis Odoi,0.6,12,2.6,2.1,11.4,1,7.0,1,1
110,Emerson Palmieri dos Santos,3.1,0,0.0,0.0,0.0,3,0.0,0,0
113,Emil Krafth,1.6,0,0.0,0.0,0.0,19,0.0,0,0
114,Enda Stevens,2.5,13,6.9,2.6,13.2,20,6.0,1,1
115,Eric Dier,2.6,13,0.7,1.8,17.4,7,0.0,2,1
117,Ethan Ampadu,1.6,0,0.0,0.0,0.0,20,0.0,0,1
118,Ezgjan Alioski,0.1,0,0.0,0.0,0.0,11,0.0,0,0
120,Fabian Schär,0.0,0,0.0,0.0,0.0,19,0.0,0,0
123,Fabián Balbuena,1.6,0,0.0,0.0,0.0,14,0.0,0,1
125,Federico Fernández,2.1,27,0.1,2.8,26.0,19,2.0,6,0
127,Fernando Marçal,2.1,21,1.5,1.7,15.2,15,0.0,5,0
128,Fikayo Tomori,3.1,0,0.0,0.0,0.0,3,0.0,0,0
129,Filip Benkovic,0.0,0,0.0,0.0,0.0,18,0.0,0,0
130,Florian Lejeune,0.0,0,0.0,0.0,0.0,19,0.0,0,0
135,Gabriel Magalhães,3.1,37,0.3,8.5,51.8,8,33.0,15,0
136,Gary Cahill,0.0,0,0.0,0.0,0.0,16,0.0,0,1
138,George Baldock,2.5,13,15.7,4.3,1.6,20,26.0,1,1
156,Héctor Bellerín,3.1,23,26.4,4.0,9.8,8,4.0,5,0
161,Issa Diop,1.6,15,0.9,2.6,24.6,14,0.0,1,1
164,Jack O'Connell,2.1,8,2.3,2.2,19.2,20,0.0,1,1
165,Jack Robinson,1.6,0,0.0,0.0,0.0,20,0.0,0,1
166,Jack Stephens,2.1,12,1.1,3.7,18.4,6,17.0,2,0
171,Jake Vokins,1.0,0,0.0,0.0,0.0,6,0.0,0,0
172,Jamaal Lascelles,1.6,21,0.3,2.2,21.8,19,0.0,6,0
173,Jamal Lewis,1.6,31,39.8,5.9,19.4,19,0.0,7,0
174,James Justin,2.6,32,13.0,3.5,20.0,18,2.0,9,0
180,James Tomkins,0.0,0,0.0,0.0,0.0,16,0.0,0,1
184,Jannik Vestergaard,1.6,19,10.4,3.2,17.6,6,4.0,1,0
185,Jan Bednarek,1.6,11,1.3,1.0,8.8,6,0.0,1,0
186,Japhet Tanganga,0.0,0,0.0,0.0,0.0,7,0.0,0,1
187,Jarrad Branthwaite,0.5,0,0.0,0.0,0.0,17,0.0,0,0
190,Javier Manquillo,1.6,27,19.7,4.4,22.4,19,2.0,5,0
192,Jayden Bogle,1.6,0,0.0,0.0,0.0,20,0.0,0,1
198,Joel Matip,4.0,2,0.0,0.0,0.0,10,0.0,1,1
199,Joel Ward,1.6,22,0.7,1.4,13.2,16,0.0,6,1
200,Joe Bryan,1.1,12,4.3,1.5,10.6,1,0.0,1,1
202,John Egan,2.1,4,0.8,1.6,8.8,20,6.0,0,1
207,Jonathan Castro Otto,0.0,0,0.0,0.0,0.0,15,0.0,0,0
209,Jonjoe Kenny,1.1,0,0.0,0.0,0.0,17,0.0,0,0
211,Jonny Evans,0.0,0,0.0,0.0,0.0,18,0.0,0,0
218,Joseph Gomez,4.0,13,1.0,2.0,19.2,10,0.0,1,1
225,Joël Veltman,0.6,0,0.0,0.0,0.0,5,0.0,0,1
226,Juan Foyth,2.1,0,0.0,0.0,0.0,7,0.0,0,1
234,Kelland Watts,0.0,0,0.0,0.0,0.0,19,0.0,0,0
236,Kenny Tete,0.6,0,0.0,0.0,0.0,1,0.0,0,1
239,Kieran Gibbs,0.6,12,1.7,0.8,6.4,9,0.0,1,1
240,Kieran Tierney,3.5,25,2.5,1.7,12.8,8,2.0,6,0
241,Konstantinos Tsimikas,2.7,0,0.0,0.0,0.0,10,0.0,0,1
242,Kurt Zouma,3.1,25,0.2,6.9,51.8,3,17.0,8,0
243,Kyle Bartley,0.6,11,0.3,1.4,13.8,9,0.0,1,1
245,Kyle Walker-Peters,1.6,12,18.6,4.7,24.0,6,4.0,1,0
248,Leif Davis,-0.5,0,0.0,0.0,0.0,11,0.0,0,0
250,Lewis Dunk,1.1,16,1.2,2.9,20.4,5,7.0,1,1
251,Liam Cooper,0.1,0,0.0,0.0,0.0,11,0.0,0,0
252,Lucas Digne,2.4,38,19.9,6.1,40.8,17,0.0,12,0
257,Luke Ayling,0.1,15,4.3,4.0,35.6,11,0.0,0,0
259,Luke Thomas,2.6,0,0.0,0.0,0.0,18,0.0,0,0
262,Mamadou Sakho,0.0,0,0.0,0.0,0.0,16,0.0,0,1
264,Marcos Alonso,3.9,14,3.7,2.4,17.8,3,2.0,2,0
272,Martin Kelly,1.6,0,0.0,0.0,0.0,16,0.0,0,1
273,Martín Montoya,0.0,0,0.0,0.0,0.0,5,0.0,0,1
274,Mason Holgate,0.4,0,0.0,0.0,0.0,17,0.0,0,0
282,Matthew Clarke,0.0,0,0.0,0.0,0.0,5,0.0,0,1
285,Matt Doherty,3.4,6,3.5,5.9,20.0,7,35.0,2,1
289,Maxime Le Marchand,0.6,0,0.0,0.0,0.0,1,0.0,0,1
290,Max Kilman,1.0,0,0.0,0.0,0.0,15,0.0,0,0
291,Max Lowe,1.6,0,0.0,0.0,0.0,20,0.0,0,1
294,Michael Hector,0.6,12,0.6,1.7,16.8,1,0.0,0,1
295,Michael Keane,1.6,29,0.1,2.6,25.8,17,0.0,6,0
302,Mohammed Salisu,1.6,0,0.0,0.0,0.0,6,0.0,0,0
310,Nathan Ferguson,0.0,0,0.0,0.0,0.0,16,0.0,0,1
314,Neco Williams,2.5,0,0.0,0.0,0.0,10,0.0,0,1
318,Oliver Casey,-0.5,0,0.0,0.0,0.0,11,0.0,0,0
323,Oluwasemilogo Adesewo Ibidapo Ajayi,1.1,2,0.5,0.1,0.2,9,0.0,0,1
325,Oskar Buur,1.0,2,0.5,0.1,0.6,15,0.0,1,0
328,Pablo Marí,0.0,0,0.0,0.0,0.0,8,0.0,0,0
330,Pascal Struijk,-0.5,19,0.1,4.1,41.0,11,0.0,0,0
332,Patrick van Aanholt,0.0,0,0.0,0.0,0.0,16,0.0,0,1
334,Paul Dummett,0.4,0,0.0,0.0,0.0,19,0.0,0,0
336,Phil Jagielka,1.0,0,0.0,0.0,0.0,20,0.0,0,1
340,Reece James,3.1,44,30.3,11.8,76.8,3,11.0,14,0
344,Ricardo Domingos Barbosa Pereira,0.0,0,0.0,0.0,0.0,18,0.0,0,0
349,Robin Koch,0.1,14,0.2,4.2,23.4,11,18.0,0,0
350,Rob Holding,2.6,28,1.2,2.2,20.6,8,0.0,6,0
354,Romain Saïss,2.1,34,0.2,10.2,63.4,15,38.0,15,0
358,Ryan Bennett,1.6,0,0.0,0.0,0.0,15,0.0,0,0
359,Ryan Bertrand,2.1,15,18.5,3.7,16.8,6,2.0,2,0
361,Ryan Fredericks,1.6,14,62.3,8.4,19.4,14,2.0,0,1
362,Ryan Sessegnon,2.6,0,0.0,0.0,0.0,7,0.0,0,1
364,Rúben Gonçalo Silva Nascimento Vinagre,1.6,0,0.0,0.0,0.0,15,0.0,0,0
368,Sam Woods,1.0,0,0.0,0.0,0.0,16,0.0,0,1
370,Scott Dann,1.6,24,0.4,2.4,15.6,16,8.0,7,1
371,Sead Kolasinac,3.1,0,0.0,0.0,0.0,8,0.0,0,0
372,Seamus Coleman,1.6,28,12.1,4.3,24.0,17,7.0,6,0
374,Serge Aurier,3.0,0,0.0,0.0,0.0,7,0.0,0,1
375,Shane Duffy,0.0,0,0.0,0.0,0.0,5,0.0,0,1
377,Shkodran Mustafi,0.0,0,0.0,0.0,0.0,8,0.0,0,0
380,Sokratis Papastathopoulos,0.0,0,0.0,0.0,0.0,8,0.0,0,0
386,Stuart Dallas,0.1,21,1.3,2.7,23.2,11,2.0,3,0
391,Tariq Lamptey,0.6,22,27.3,8.1,33.8,5,20.0,3,1
393,Thiago Thiago,0.9,0,0.0,0.0,0.0,3,0.0,0,0
394,Timothy Castagne,3.5,38,3.0,8.4,45.8,18,35.0,14,0
396,Tim Ream,0.6,16,0.8,1.7,16.4,1,0.0,1,1
397,Toby Alderweireld,3.0,12,11.2,3.0,17.0,7,2.0,2,1
401,Trent Alexander-Arnold,5.5,10,30.4,3.8,7.8,10,0.0,1,1
403,Tyrick Mitchell,1.0,23,0.7,1.8,17.6,16,0.0,6,1
405,Virgil van Dijk,4.8,19,0.8,7.5,37.6,10,37.0,7,1
409,Wes Morgan,2.0,0,0.0,0.0,0.0,18,0.0,0,0
412,William Saliba,2.6,0,0.0,0.0,0.0,8,0.0,0,0
415,Willy Boly,2.5,25,0.2,2.2,21.6,15,0.0,6,0
418,Yan Valery,2.1,0,0.0,0.0,0.0,6,0.0,0,0
419,Yerry Mina,2.0,27,0.4,2.5,23.2,17,1.0,6,0
423,Zeze Steven Sessegnon,0.0,0,0.0,0.0,0.0,1,0.0,0,1
424,Çaglar Söyüncü,3.5,29,1.4,2.3,15.6,18,6.0,6,0
426,Aaron Cresswell,0.5,17,35.0,6.2,27.0,1,0.0,1,0
429,Aaron Wan-Bissaka,0.5,0,0.0,0.0,0.0,6,0.0,0,1
435,Adam Webster,3.0,21,1.0,1.1,10.0,14,0.0,6,0
439,Ahmed El-Sayed Hegazy,-0.4,0,0.0,0.0,0.0,7,0.0,0,0
440,Ahmed El Mohamady,-0.5,0,0.0,0.0,0.0,15,0.0,0,1
441,Ainsley Maitland-Niles,3.5,0,0.0,0.0,0.0,19,0.0,0,1
449,Alfie Mawson,0.0,0,0.0,0.0,0.0,10,0.0,0,0
455,Andreas Christensen,-1.0,1,0.3,1.5,14.6,11,0.0,-3,1
457,Andrew Robertson,5.5,26,14.3,5.1,10.6,5,26.0,6,0
463,Angelo Ogbonna,0.5,12,0.5,4.4,24.4,1,19.0,1,0
465,Anthony Driscoll-Glennon,0.5,0,0.0,0.0,0.0,9,0.0,0,0
