,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
0,Aaron Connolly,0.5,-3,0.3,3.4,1.2,5,32,1,1,,
14,Albian Ajeti,0,0,0,0,0,14,0,0,1,,
15,Aleksandar Mitrović,0.8,3,0.3,1,3,1,7,1,1,,
16,Alexandre Lacazette,4,29,12.7,9.9,38.6,8,48,7,0,,
33,Andy Carroll,1.5,3,14,6.9,7,19,48,2,0,,
53,Billy Sharp,1.8,-4,3,2.7,1.4,20,23,2,1,,
54,Bobby Decordova-Reid,0.5,4,0.4,0.2,0,1,2,1,1,,
59,Callum Robinson,0.5,-3,1.3,0.1,0,9,2,1,1,,
60,Callum Wilson,2.1,32,23.3,10.5,32,19,50,8,0,,
64,Cenk Tosun,0,0,0,0,0,17,0,0,0,,
65,Charlie Austin,0.5,0,0,0,0,9,0,0,1,,
67,Che Adams,1.8,3,13.1,3.9,4.4,6,21,2,0,,
69,Christian Benteke,0,0,0,0,0,16,0,0,1,,
75,Connor Wickham,0,0,0,0,0,16,0,0,1,,
86,Danny Ings,3,1,11.2,8,8.6,6,60,2,0,,
96,David McGoldrick,1.5,2,2.7,1.2,0.8,20,8,1,1,,
105,Divock Origi,3,0,0,0,0,10,0,0,1,,
106,Dominic Calvert-Lewin,1.8,34,13.7,8.6,38.4,17,34,8,0,,
107,Dwight Gayle,0,0,0,0,0,19,0,0,0,,
109,Edward Nketiah,2.8,3,0,0,0,8,0,1,0,,
122,Fabio Silva,1.5,0,0,0,0,15,0,0,0,,
131,Florin Andone,0,0,0,0,0,5,0,0,1,,
141,Glenn Murray,0,0,0,0,0,5,0,0,1,,
146,Hal Robson-Kanu,0.5,3,0.1,0.3,2,9,1,1,1,,
149,Harry Kane,4.5,7,22.5,5.2,8,7,21,2,1,,
183,Jamie Vardy,4.8,52,10.3,11.8,71.2,18,36,13,0,,
197,Joelinton Cássio Apolinário de Lira,1.8,4,11.2,2.6,7.2,19,8,1,0,,
212,Jordan Ayew,1.8,-7,0.8,2.9,9.2,16,19,2,1,,
214,Jordan Hugill,0,0,0,0,0,14,0,0,1,,
233,Kelechi Iheanacho,2.8,0,0,0,0,18,0,0,0,,
235,Kenneth Zohore,0,0,0,0,0,9,0,0,1,,
249,Leonardo Campana,1.3,0,0,0,0,15,0,0,0,,
260,Lys Mousset,1.8,0,0,0,0,20,0,0,1,,
261,Léo Bonatini,1.3,0,0,0,0,15,0,0,0,,
296,Michael Obafemi,1.3,0,0,0,0,6,0,0,0,,
297,Michail Antonio,2.1,0,11.8,8,5.4,14,63,2,1,,
298,Michy Batshuayi,1.8,0,0,0,0,16,0,0,1,,
303,Moise Kean,1.3,2,0,0.4,0,17,4,1,0,,
313,Neal Maupay,1.1,1,1,0.7,0,5,8,2,1,,
319,Oliver McBurnie,1.8,3,15.3,6.8,12,20,41,1,1,,
322,Olivier Giroud,3.3,0,0,0,0,3,0,0,0,,
331,Patrick Bamford,0.1,28,0.5,6.8,40,11,27,7,0,,
339,Raúl Jiménez,3,29,8.5,9.8,41.2,15,48,8,0,,
343,Rhian Brewster,2.5,0,0,0,0,10,0,0,1,,
345,Richarlison de Andrade,2.3,17,13.8,10.7,26.2,17,67,2,0,,
346,Roberto Firmino,5,10,7.2,5.1,5.8,10,38,1,1,,
351,Rodrigo Moreno,0.3,0,0.3,0,0,11,0,1,0,,
376,Shane Long,1.5,4,0,0.4,2,6,2,1,0,,
387,Sébastien Haller,2.1,2,10.7,4.1,2.4,14,28,1,1,,
389,Tammy Abraham,3.6,0,0,0,0,3,0,0,0,,
395,Timo Werner,4.5,10,11.7,9.6,4.8,3,79,5,0,,
420,Yoshinori Muto,1.3,0,0,0,0,19,0,0,0,,
