,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
2,Aaron Mooy,0.0,0,0.0,0.0,0.0,5,0.0,0,1
4,Abdoulaye Doucouré,1.3,20,44.6,6.9,20.4,17,4.0,3,0
5,Aboubakar Kamara,0.4,-2,1.8,0.2,0.0,1,5.0,2,1
6,Adama Traoré,2.2,6,1.8,3.2,12.8,15,17.0,3,0
7,Adam Forshaw,0.0,0,0.0,0.0,0.0,11,0.0,0,0
8,Adam Lallana,1.2,6,27.2,3.6,6.8,5,2.0,1,1
10,Adrien Silva,2.0,0,0.0,0.0,0.0,18,0.0,0,0
17,Alexis Mac Allister,0.8,0,0.0,0.0,0.0,5,0.0,0,1
18,Alex Iwobi,1.6,0,0.0,0.0,0.0,17,0.0,0,0
20,Alex Oxlade-Chamberlain,1.9,0,0.0,0.0,0.0,10,0.0,0,1
22,Alireza Jahanbakhsh,0.8,3,0.7,0.5,4.4,5,0.0,1,1
24,Allan Marques Loureiro,1.3,16,3.4,2.1,18.0,17,0.0,3,0
25,Allan Saint-Maximin,1.8,7,2.8,1.2,3.8,19,5.0,3,0
29,Andriy Yarmolenko,2.1,-1,1.6,3.0,2.8,14,26.0,0,1
30,Andros Townsend,2.1,26,33.7,6.4,28.4,16,2.0,8,1
31,André Filipe Tavares Gomes,1.3,11,3.3,2.7,3.8,17,20.0,3,0
32,André-Frank Zambo Anguissa,0.0,4,11.8,2.6,14.4,1,0.0,1,1
36,Anthony Gordon,0.5,0,0.0,0.0,0.0,17,0.0,0,0
37,Anthony Knockaert,0.8,0,0.0,0.0,0.0,1,0.0,0,1
41,Ayoze Pérez,3.2,5,2.5,2.7,0.0,18,24.0,3,0
42,Bamidele Alli,3.2,3,11.9,4.1,8.4,7,21.0,1,1
47,Ben Osborn,1.4,0,0.0,0.0,0.0,20,0.0,0,1
50,Bernard Anício Caldeira Duarte,1.6,0,0.0,0.0,0.0,17,0.0,0,0
52,Billy Gilmour,0.0,0,0.0,0.0,0.0,3,0.0,0,0
